date	time	from	message	spam	debit	credit	otp	bill
May-27-2019	17:29	GRAB GRAB 	207968 is your Grab Activation Code (GAC). It expires in 2 minutes.  	0	0	0	1	0
May-19-2019	23:43	AXZOMATO AXZOMATO 	"#SavourySaturdays  Order food at 50% OFF up to Rs.100 with code ZOMATONEW, valid 5 times. TCA. https://bnc.lt/WJml/ZyhXIti1KW  "	1	0	0	0	0
Apr-16-2019	16:40	BTTRADEB BTTRADEB 	Congratulations! Your free trading account will be opened & Get Rs 5500/- cashback. Check Now - http://1kx.in/OMwnh7v49Gl  	1	0	0	0	0
Jun-02-2019	14:55	AXHDFCBK AXHDFCBK 	"Pls do not hand over your HDFC Bank Credit Card/Personal information or disclose your PIN to anyone,under any circumstances.  "	1	0	0	0	0
May-28-2019	10:49	GRAB GRAB 	414704 is your Grab Activation Code (GAC). It expires in 2 minutes.  	0	0	0	1	0
May-18-2019	19:11	10086 10086 	ÒÇÉõ¢ÖÚóØõ©ìÞÂ│µÅÉÚåÆÒÇæµé¿þÜäÞ»ØÞ┤╣õ¢ÖÚóØÕÀ▓õ©ìÞÂ│30Õàâ´╝îõ©║õ┐ØÞ»üµé¿þÜäµ¡úÕ©©õ¢┐þö¿´╝îÞ»Àµé¿ÕÅèµùÂÕààÕÇ╝ÒÇéµëïµ£║þø┤µÄÑõ║ñÞ┤╣Þ»Àþé╣Õç╗´╝êhttp://dx.10086.cn/ZQJBRVn´╝ëÒÇéÕªéµ¼áÞ┤╣Õü£µ£║´╝îÕ╗║Þ««µé¿ÕààÕÇ╝õ║ñÞ┤╣ÕÉÄÚçìÕÉ»µëïµ£║´╝îþí«õ┐ØÚí║þòàõ¢┐þö¿ÒÇéÒÇÉõ©¡Õø¢þº╗Õè¿ÒÇæ  	1	0	0	0	0
May-02-2019	20:25	HSBCSG HSBCSG 	"HSBCSG: 02MAY2019 20:25 Purchase at 049FB-TS (RASAPURA) on *** 0044 for SGD5.20. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-14-2019	11:49	AD650016 AD650016 	Say Hello to extra savings with Airtel today! Add a family member to your postpaid plan for only Rs.199 & save 25%.T&C apply. www.airtel.in/5/create-family  	1	0	0	0	0
Apr-20-2019	13:28	ADLSKART ADLSKART 	T20 Offer : Rs.2020 credited in your Lenskart account for 2 days Get 2 Pairs @ 999 Shop latest styles! Install app lskt.me/p9 to claim Store lskt.me/o9 T&C  	1	0	0	0	0
Apr-22-2019	23:11	BTFRZMNU BTFRZMNU 	FreshMenu: Rs.75 credited to your FreshMoney account. Applicable on entire menu! FreshMoney Expires on 23rd April. Order now - http://1kx.in/Dsl5ndAyvLm  	1	0	0	0	0
Jun-09-2019	15:18	HSBCSG HSBCSG 	"HSBCSG: 10JUN Transfer from basic account SGD 1,050.00- to Farhan for rent  "	0	1	0	0	0
May-05-2019	23:19	51466 51466 	Dispatched: Mamaearth Milky Soft Natural Baby Face Cream for Babies 50mL will reach you by 09-May. Track at http://amzn.in/d/0rVqlVM  	1	0	0	0	0
May-23-2019	19:15	ADHDFCBN ADHDFCBN 	"Exclusive Rs. 250 BookMyShow voucher just for you!  To claim, just transact 4 times using your HDFC Bank Credit Card 1018 before 31st May'19 resu.io/JQPN7HZME2PE TnC  "	1	0	0	0	0
Apr-05-2019	12:05	ADSBIPSG ADSBIPSG 	"Your A/c XXXXXXX6077 has been debited with INR 10,000.00 on 05/04/19 towards NEFT with UTR SBIN519095098679 sent to Neelesh Sharma HDFC0000003  "	0	1	0	0	0
May-11-2019	14:07	HSBCSG HSBCSG 	"HSBCSG: 11MAY2019 14:07 Purchase at SUBWAY - 313SOMERSET on *** 0044 for SGD6.50. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-17-2019	21:42	TXFABIND TXFABIND 	"Fabindia Sale is here!! Shop for your loved ones @discount upto 70%. Huda Commercial Centre Sector-14, Gurgaon(Next to Axis Bank). Valid till stocks last.  "	1	0	0	0	0
May-10-2019	17:57	BWHDFCBK BWHDFCBK 	"Dear Customer, access your intimation letter for demat charges of Apr-19 for HDFC Bank Demat A/c No ending 6293 via NetBanking bit.ly/1cqqRYm  "	1	0	0	0	0
May-18-2019	16:51	IMHEALTH IMHEALTH 	Govt. of India announced 5 Lacs health cover for everybody below poverty line. Still thinking to insure your family's health? Compare http://nmc.sg/ey4HO5  	1	0	0	0	0
May-23-2019	22:00	HSBCSG HSBCSG 	"HSBCSG: 23MAY2019 22:00 Purchase at GRAB *140998087-9-147 on *** 0044 for SGD14.90. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-11-2019	15:29	AXXXAMEX AXXXAMEX 	"Dear Cardmember, please know that American Express or its employees will never contact you asking for your Card number, Card expiry date, 4DBC, OTP, or Online Account password. Please do not share these details with anyone over phone or e-mail as this could lead to fraud.  "	1	0	0	0	0
May-18-2019	11:38	VK075188 VK075188 	ÒÇÉÚªûÚâ¢µ£║Õ£║ÒÇæPassword:6956  	0	0	0	1	0
Apr-09-2019	17:13	ADEXCLUS ADEXCLUS 	"Don't wait for time to run out, protect your family. Life insurance of Rs. 1 cr starting at Rs. 563/month http://nmc.sg/dciuhU  "	1	0	0	0	0
May-11-2019	16:49	IMvONEMG IMvONEMG 	Your Rs.100 1mgCash expires today- Use it to order medicines. Also get 25% OFF + Rs.100 Paytm cashback. Code: NEW25 T&C's apply. Order- http://nmc.sg/evOB4S  	1	0	0	0	0
Apr-22-2019	21:33	VKTATALI VKTATALI 	"Dear Customer, our contact center, email, webchat services will not be available on account of Lok Sabha Elections in Pune on 23 Apr'19. We request you to use self-service channels - our online portal https://bit.ly/Customerlogin to login and transact or SMS HELP to 5676799 to receive list of SMS service options or Download https://bit.ly/2QO4LMu Ubiqc mobile App for quick account info & assistance on your queries. We regret the inconvenience caused and look forward to servicing you soon.  "	1	0	0	0	0
Apr-03-2019	14:51	AD650016 AD650016 	"Travelling Abroad? Get Airtels International Roaming packs starting at Rs1499 with Unlimited Incoming & 3GB data for 10 days.To activate,click www.airtel.in/IR  "	1	0	0	0	0
Apr-06-2019	19:28	HSBCSG HSBCSG 	HSBCSG: 08APR Transfer from basic account SGD 500.00- to Farhan for rent  	0	1	0	0	0
Apr-04-2019	20:39	ADHDFCBN ADHDFCBN 	Personal Loan in 10 Sec.for you! Let nothing hold you back! Live your way with a Pre-approved Personal Loan of Rs.5 Lacs. Get it now: resu.io/L2U97HZME2Qt T&C  	1	0	0	0	0
May-22-2019	23:04	HPFABHTL HPFABHTL 	"It's a Fab Wednesday - Get Extra 30% OFF on 300+ FabHotels. Code pre-applied. Click http://ggl.lc/?9e66bb/GdaGIEIEad to Book! Hurry, Offer valid till midnight!  "	1	0	0	0	0
Apr-11-2019	18:37	AXHDFCBN AXHDFCBN 	Save Big! Simply transact using your HDFC Bank Debit Card XX7734 and avail 10 % CashBack today Know more: hdfcbk.net/MPKomwp  	1	0	0	0	0
May-04-2019	14:35	ADVEROIN ADVEROIN 	BUY 1 DRESS & GET 1 FREE* at VERO MODA. Choose from a versatile range of fresh & breezy dresses from the nearest store or shop online @ www.veromoda.in *T&C  	1	0	0	0	0
Apr-04-2019	22:39	VKHDFCBK VKHDFCBK 	Rs 1000.00 debited from a/c **2392 on 04-04-19 to VPA singhdeepalit@okhdfcbank(UPI Ref No 909420164219). Not you? Call on 18002586161 to report  	0	1	0	0	0
Apr-06-2019	22:15	HSBCSG HSBCSG 	"HSBCSG: 08APR2019 22:15 Purchase at GUZMAN Y GOMEZ on *** 0044 for SGD7.90. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-16-2019	22:25	ADvONEMG ADvONEMG 	Your Rs.100 1mgCash expires tomorrow- Use it to order medicine & lab test! Also get 20% OFF + 5% 1mgCash + Rs.250 PayPal cashback* Order- http://nmc.sg/d8pfsu  	1	0	0	0	0
Jun-07-2019	13:36	GRAB GRAB 	151055 is your Grab Activation Code (GAC). It expires in 2 minutes.  	0	0	0	1	0
Jun-08-2019	16:51	AXHDFCBK AXHDFCBK 	"DEAR CARDMEMBER, PAYMENT OF Rs. 230.00 RECEIVED TOWARDS YOUR CREDIT CARD ENDING 1018 THROUGH Autopay ON 8-6-2019.YOUR AVAILABLE LIMIT IS RS. 174860.34  "	0	1	0	0	0
May-18-2019	14:51	IMPZAHUT IMPZAHUT 	Weekend cravings! Order Pizza Hut's Tastiest Pan Pizzas. Now get 2 personal pizzas starting @ Rs 99 each. Walk In/Order @ PH99.in/hxTMoR T&C  	1	0	0	0	0
May-04-2019	20:34	HSBCSG HSBCSG 	"HSBCSG: 06MAY2019 20:22 Purchase at TRANSIT on *** 0044 for SGD20.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-08-2019	18:27	HSBCSG HSBCSG 	"HSBCSG: 08APR2019 18:27 Purchase at GV PLAZA SINGAPURA on *** 0044 for SGD5.50. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-01-2019	15:00	HSBCSG HSBCSG 	"HSBCSG: 02MAY2019 15:00 Purchase at GRAB *GRABFOOD on *** 0044 for SGD10.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-07-2019	16:23	51466 51466 	Arriving Today:Astaberry 24 Carat Gold Facial Mini Kit will be delivered today. Pay Rs.199 by Cash/Card. Track: http://amzn.in/d/9hHnYu2  	1	0	0	0	0
May-08-2019	19:56	AXHDFCBN AXHDFCBN 	"It's our 25th Birthday! Enjoy 2500 RewardPoints on EMI/InternationalSpends|Great deals on Dining,Movies,etc. via CreditCard 1018 Check NOW:  resu.io/59EG7HZME2No T&C  "	1	0	0	0	0
Apr-30-2019	21:03	HPNETMED HPNETMED 	About to END! Last chance to SNAG Flat 20% OFF* on Meds + 100% NMS SuperCash | code: MAHI100. *T&C. https://nms.care/apr30_te  	1	0	0	0	0
May-26-2019	18:32	HSBCSG HSBCSG 	"HSBCSG: 27MAY2019 18:31 Purchase at Liberty Wireless Pte Ltd on *** 0044 for SGD8.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-29-2019	21:03	HPNETMED HPNETMED 	Ends Soon! Flat 20% OFF on meds + 10% NMS Cash Use code: NMSMAHI40 Extra up to Rs. 400 Amazon Pay Cashback* (FLAT 10%) *T&C Apply https://nms-rx.com/may29_te  	1	0	0	0	0
May-11-2019	13:30	51466 51466 	Pay Rs 638.00 for your incoming Amazon order Dr More... Click to Pay: http://amzn.in/hjkSU0x   	1	0	0	0	0
Jun-07-2019	21:34	BWBHROUZ BWBHROUZ 	A Rendezvous with Royalty! Try Royal Behrouz Biryanis such as Dum Gosht Biryani & more Rs.75 OFF + 20% CB on Amazon Pay Code - BB75 Order@ bit.ly/BehrouzWeb  	1	0	0	0	0
May-13-2019	11:22	ADMYAMEX ADMYAMEX 	"Dear Cardmember,Your balance on American Express card ending in 81003 is 0.00 as of 11/05/2019  "	1	0	0	0	0
May-15-2019	21:21	121 121 	"Welcome to Singapore! Opt for Airtel's International Roaming pack & enjoy UNLIMITED Min free incoming calls, 3 GB data and 250 mins of free local/calls to India & 100 SMS at just Rs.1499 for 10 days. To activate, call +919910099100 (International Tollfree) or click www.airtel.in/ir (data charges apply). Airtel wishes you a happy stay.  "	1	0	0	0	0
May-18-2019	17:39	IMPZAHUT IMPZAHUT 	Weekend cravings! Order Pizza Hut's Tastiest Pan Pizzas. Now get 2 personal pizzas starting @ Rs 99 each. Walk In/Order @ PH99.in/hxTMoR T&C  	1	0	0	0	0
May-25-2019	14:41	HSBCSG HSBCSG 	"HSBCSG: 25MAY2019 14:41 Purchase at GRAB *140998087-9-149 on *** 0044 for SGD6.75. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-08-2019	10:27	GRAB GRAB 	643398 is your Grab Activation Code (GAC). It expires in 2 minutes.  	0	0	0	1	0
May-22-2019	21:22	IMPZLENT IMPZLENT 	Instant personal loan starting from just 10.99% for people above Rs 30000 monthly salary. Disbursal in just 48Hrs.Click http://nmc.sg/eL7ytS to apply.  	1	0	0	0	0
Apr-26-2019	11:23	51466 51466 	Pay Rs 516.00 for your incoming Amazon order Lotus H... Click to Pay: http://amzn.in/fN0iS96   	1	0	0	0	0
Apr-24-2019	12:10	ADHDFCBK ADHDFCBK 	"Dear Smart Pay Customer,We have successfully debited your HDFC Bank Credit card ending 1018 to pay your Spay 1316526196 bill for the amount Rs 529.82  "	0	1	0	0	0
Apr-04-2019	23:25	09664555555 09664555555 	c1ee7f95e9f7553d35a3435c325d81d03db  	0	0	0	0	0
Jun-05-2019	21:02	BRPRIZES BRPRIZES 	"Congratulations Dear, You are selected to win upto Rs 20 Lac.  Its S Africa vs India today Play Now   http://v3n.in/ZWPPKLHYLWLQ  On :Jun-06-2019  At: 13:09 From :+916307943556 +916307943556 :  Check your credit score for free now. Banks check it before approving a loan. Are you 780?   http://v3n.in/ZWPPKLHYLWLN  "	1	0	0	0	0
Apr-11-2019	6:01	AWSSummit19 AWSSummit19 	Here is your e-ticket for AWS Summit 2019 Singapore. Registration opens at 7:30am in the Max Atria. https://aws.evt.ac/t/gZBDr2  	1	0	0	0	0
May-25-2019	22:02	HSBCSG HSBCSG 	"HSBCSG: 27MAY2019 22:02 Purchase at NTUC FP-ORCHARD G.C. on *** 0044 for SGD30.25. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-25-2019	20:41	VKBBCRDT VKBBCRDT 	"Hi Neelesh, has your loan repayment history affected your Credit Score? Check your free Experian Credit Score now bnkbzr.co/kF7P5rrHq0  "	1	0	0	0	0
May-19-2019	11:35	IMHDFCBN IMHDFCBN 	It's our 25th Birthday! 25% OFF at Book My Show! Enjoy this offer exclusively using your HDFC Bank Credit Card 1018  Know more:  resu.io/VMVP7HZME28V T&C  	1	0	0	0	0
Apr-13-2019	12:54	ADHDFCBN ADHDFCBN 	"SUPER DEAL:iPhoneXR@just Rs.53,900 Only on HDFC Bank Debit/Credit Card.  Rush to a store near you NOW! CashBack offers available with EASYEMI bit.ly/Xripho  "	1	0	0	0	0
May-17-2019	12:27	VKMYAMEX VKMYAMEX 	A charge of INR 1.00 has been initiated on your American Express Card No. ***81003 at GOOGLE SERVICES on 17/05/2019 at 09:57AM IST.  	0	1	0	0	0
May-17-2019	22:43	HSBCSG HSBCSG 	"HSBCSG: 18MAY2019 22:43 Purchase at GRAB *140998087-9-145 on *** 0044 for SGD30.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-25-2019	11:57	ADHDFCBN ADHDFCBN 	Shop for your favourite brand! With HDFC Bank EasyEMI on Debit Card 7734 enjoy XTRA 5% CashBack* Your Preapproved EasyEMI limit: Rs.350000 Click: bit.ly/Cash22  	1	0	0	0	0
Apr-08-2019	22:10	AXFAASOS AXFAASOS 	Introducing Navratri Specials Order Fasting dishes Paneer Makhanwala Meal Sabudana Kheer & More Get 30% OFF Code-AW30 +25% Ola Money CB Order @ bit.ly/AppFaasos  	1	0	0	0	0
May-07-2019	19:28	BZMPOKKT BZMPOKKT 	Need instant cash? College student? mPokket is the best-rated app to get up to Rs 20000 in your bank/ PayTM. Download Now: https://go.onelink.me/app/5fc5fba9  	1	0	0	0	0
Apr-23-2019	19:55	BWHAPYGO BWHAPYGO 	Thanks for choosing HappyEasyGo. Here?s an exclusive coupon for flat Rs800 off on flight only for you! Code: HEGOUA. Valid till 30 April. http://bit.ly/2XCxPcF  	1	0	0	0	0
Apr-21-2019	14:25	IDPTHLAB IDPTHLAB 	"Full Body Checkup @ Home(91+)Test Rs1199 With Free Doctor Advice Vitamin D & B12,Bones Heart, Kidney, Liver, CBC, Diabetes, Thyroid, Urine Misscall@ 8750922211  "	1	0	0	0	0
Apr-18-2019	21:29	2901 2901 	"You received 0 PrepaidBalanceSubaccount, maximum limit reached.  "	1	0	0	0	0
May-31-2019	12:51	HPONESTA HPONESTA 	Don't miss this hatrick!!! Get 1 Pizza Unlimited Meal FREE with 2 Pizza Unlimited Meals@ONESTA. Use code  PU212F6EC7. Valid till 4th June. TnC Apply.  	1	0	0	0	0
Apr-16-2019	10:25	HSBCSG HSBCSG 	"HSBCSG: 16APR2019 10:25 Purchase at GOJEK on *** 0044 for SGD3.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Jun-03-2019	13:59	GRAB GRAB 	GrabPlatform: You are invited to Project-GrabFreshTopsTH-New.  	1	0	0	0	0
May-13-2019	10:35	51466 51466 	Arriving Today:Mamaearth Milky Soft Natural .. will be delivered by AmzAgent(+911246811004 PIN 6212). Pay Rs.183 by Cash/Card. Track: http://amzn.in/d/6KKI7WP  	1	0	0	0	0
May-28-2019	19:35	IXsRrPCp IXsRrPCp 	PayPal: Enter your code on the PayPal website. CODE: 459936.  	0	0	0	1	0
May-18-2019	15:11	VK075188 VK075188 	[DiDi]288145 is your Verification Code. This code will expire in 5 minutes. Please do not disclose it for security purpose.  	0	0	0	1	0
May-19-2019	19:35	IMHDFCBN IMHDFCBN 	25th Birthday Special: 25% OFF @Zomato! Enjoy this offer on food ordering exclusively using your HDFC Bank Credit Card 1018  Know more: resu.io/YNQP7HZME2ub T&amp;C  	1	0	0	0	0
May-06-2019	14:16	ADHDFCBK ADHDFCBK 	"It's our 25th Birthday! Enjoy 2500 RewardPoints on EMI/InternationalSpends|Great deals on Dining,Movies,etc. via CreditCard 1018  Check NOW: resu.io/T4SY7HZME2UT T&C  "	1	0	0	0	0
May-17-2019	20:32	VKHDFCBK VKHDFCBK 	OTP is 106562 for txn of INR 2.00 at AY5SPT356 on card ending 1018. Valid till 18:05:07. Do not share OTP for security reasons.  	0	0	0	1	0
Apr-19-2019	14:40	ADTRAVEL ADTRAVEL 	"Dear Guest, MH1446 is ready for boarding. Please refer to the flight display screen for gate information. Gate will be closed 30 minutes before departure.    "	1	0	0	0	0
May-03-2019	10:33	HSBCSG HSBCSG 	"HSBCSG: 03MAY2019 10:21 Purchase at KLOOK TECHNOLOGY on *** 0044 for SGD33.63. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-07-2019	21:03	HPNETMED HPNETMED 	Ends Soon! Flat 20% OFF on meds + 10% NMS Cash + Use code: NETMEDS55 Up to Rs. 400 PayPal Cashback (FLAT 25%) *T&C https://nms.care/N55p_te  	1	0	0	0	0
May-02-2019	17:30	AXPREMUM AXPREMUM 	"Life is unpredictable! Secure yourself against death, disability & diseases at just Rs.490 pm. Get 1 Cr. Term Life Cover http://nmc.sg/ena3sX  "	1	0	0	0	0
May-03-2019	13:51	BZONESTA BZONESTA 	Pasta OR Pizzza? Get  Both! Get STARTER/PASTA FREE With Pizza Unlimited Meal@ONESTA till 28th April! Use Code  MSPGW680097! Offer Valid till 5th May! TnCApply  	1	0	0	0	0
Apr-04-2019	20:53	ADHDFCBK ADHDFCBK 	"As our Corporate Salary Preferred Partner, get up to 0.05% waiver on HDFC Home Loan Interest Rates Home Loans starting at 8.75%* Click resu.io/JNMM7HZME2sL to apply or call  us. T&C  "	1	0	0	0	0
May-09-2019	17:32	AXCLOVED AXCLOVED 	Let this Mother's Day be about healthy smiles. Discount of Rs 1000 for all Mothers at any Clove Dental Clinic. For appt call 9667353232 Validity 19 May'19 T&C*  	1	0	0	0	0
Apr-10-2019	9:58	HSBCSG HSBCSG 	"HSBCSG: 10APR2019 09:57 Purchase at TRANSIT on *** 0044 for SGD20.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-08-2019	17:46	IM001122 IM001122 	Hunger doesn't take a vacation! Get 50% off on Feast Pizza by Mojo Pizza & 15% off on BOX8 with Sodexo Meal Card. Hurry! Visit http://bit.ly/2G4Tx5i for T&Cs.  	1	0	0	0	0
May-12-2019	21:59	HSBCSG HSBCSG 	"HSBCSG: 13MAY2019 21:59 NETS Purchase at 7-ELEVEN              7- from 175-033***-492 for SGD14.70. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-15-2019	12:47	IMHDFCBN IMHDFCBN 	"Rs. 250 BookMyShow voucher is here! To claim, book tickets worth Rs.500 or more with your Debit Card before 31st May  Know more:  resu.io/R7WW7HZME24R T&C  "	1	0	0	0	0
May-19-2019	21:01	IMHDFCBN IMHDFCBN 	25th Birthday Special: 25% OFF @Zomato! Enjoy this offer on food ordering exclusively using your HDFC Bank Credit Card 1018  Know more: resu.io/YNQP7HZME2ub T&amp;C  	1	0	0	0	0
Apr-21-2019	19:01	IMDINOUT IMDINOUT 	You can win up to Rs. 900 today. Predict the winning score for today's match between Bangalore and Chennai to save BIG on your restaurant bill. Update your app to predict and win now. https://bnc.lt/6ZXm/dwDmCC83RV  	1	0	0	0	0
Apr-29-2019	23:00	AXFBHOTL AXFBHOTL 	"Fab Days are here! Get Extra 40% OFF + 1000 FabCredits* on FabHotels. Use code: FABDAYS Book: www.gs.im/?lT7Srqf1Hyxb Hurry, valid for check-ins till 2nd May.  "	1	0	0	0	0
May-03-2019	21:20	HSBCSG HSBCSG 	"HSBCSG: 03MAY2019 21:19 Purchase at CHINATOWN FOOD ST on *** 0044 for SGD18.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-29-2019	11:51	AWAIRBIL AWAIRBIL 	Bill payment of Rs. 530 with due date 27-APR-19 is pending for Airtel No. 7417959514.Please pay immediately. Outgoing calls/data may get disconnected in case of non-payment.Click http://www.airtel.in/5/coll & pay with My Airtel App. Ignore if paid  	0	0	0	0	1
